subject,body,label
Solicitação de aprovação,"Por favor, aprove o documento para que possamos prosseguir.",produtivo
Detalhes do evento,Detalhes sobre o evento do próximo mês estão no anexo.,produtivo
Aviso de manutenção,Haverá uma manutenção programada no sistema.,produtivo
Atualização de endereço,"Por favor, atualize o endereço de entrega em nosso sistema.",produtivo
Solicitação de cotação,Gostaria de solicitar uma cotação para o serviço X.,produtivo
Novo membro da equipe,"Gostaria de apresentar o novo membro da equipe, João.",produtivo
Acesso ao sistema,Seu acesso ao novo sistema foi liberado.,produtivo
Reunião individual,Gostaria de agendar uma reunião individual com você.,produtivo
Lembrete de prazo,Lembrete: o prazo para a entrega do projeto é amanhã.,produtivo
Convite para evento,Você está convidado para o nosso evento de lançamento.,produtivo
Confirmação de inscrição,Sua inscrição para o curso foi confirmada.,produtivo
Material de treinamento,O material de treinamento para o novo software está pronto.,produtivo
Pesquisa de mercado,Resultados da pesquisa de mercado para sua análise.,produtivo
Revisão de contrato,"Por favor, revise o contrato antes de assinarmos.",produtivo
Relatório de gastos,Seu relatório de gastos para o último mês.,produtivo
Documento assinado,O documento foi assinado digitalmente e está no anexo.,produtivo
Planejamento de equipe,Gostaria de discutir o planejamento para nossa equipe.,produtivo
Feedback sobre a proposta,Tenho um feedback sobre a sua proposta de projeto.,produtivo
Dados de faturamento,Dados de faturamento do último trimestre para sua análise.,produtivo
Confirmação de pedido,Seu pedido foi processado e está a caminho.,produtivo
Convidado para o projeto,Você foi convidado a participar do projeto X.,produtivo
Relatório de desempenho,O relatório de desempenho do seu time está pronto.,produtivo
Análise de concorrência,Análise detalhada da nossa concorrência.,produtivo
Novo cliente,"Temos um novo cliente, gostaria de apresentá-lo.",produtivo
Proposta comercial,Aqui está nossa proposta comercial para o serviço Y.,produtivo
Reunião de acompanhamento,Vamos fazer uma reunião de acompanhamento na próxima semana.,produtivo
Tarefa delegada,A tarefa Z foi delegada a você.,produtivo
Detalhes do projeto,Detalhes e especificações do projeto A para sua revisão.,produtivo
Status do pedido,O status do seu pedido mudou para 'enviado'.,produtivo
Aviso de férias,Estarei de férias a partir de segunda-feira.,produtivo
Confirmação de entrega,Confirmo a entrega dos materiais hoje.,produtivo
Pauta da reunião,A pauta da reunião de amanhã está no anexo.,produtivo
Resultados da pesquisa,Resultados da nossa última pesquisa de satisfação.,produtivo
Convite para apresentação,Gostaria de convidá-lo para a apresentação dos resultados.,produtivo
Atualização de regras,As novas regras de segurança estão em vigor.,produtivo
Novo processo,Há um novo processo para a aprovação de despesas.,produtivo
Lembrete de relatório,Lembrete para o relatório que vence hoje.,produtivo
Perguntas sobre a proposta,Tenho algumas perguntas sobre a proposta que você enviou.,produtivo
Confirmação de recebimento do currículo,Confirmo o recebimento do seu currículo.,produtivo
Aviso de reajuste,Haverá um pequeno reajuste nos preços.,produtivo
Solicitação de material,Preciso de alguns materiais para a apresentação.,produtivo
Apresentação final,A apresentação final do projeto está pronta.,produtivo
Dúvidas sobre o produto,Tenho algumas dúvidas sobre as funcionalidades do produto.,produtivo
Relatório de erros,Relatório de erros encontrados no sistema.,produtivo
Confirmação de inscrição,Sua inscrição no evento foi confirmada.,produtivo
Próxima etapa,A próxima etapa do projeto é a fase de testes.,produtivo
Solicitação de aprovação,"Por favor, aprove o layout da newsletter.",produtivo
Informação de contato,Segue a informação de contato do novo fornecedor.,produtivo
Aviso de atualização,Aviso de uma nova atualização do software.,produtivo
Relatório de atividades,Relatório de atividades da equipe para a semana.,produtivo
Planejamento de marketing,Gostaria de discutir o planejamento de marketing.,produtivo
Resultados de testes,Resultados dos testes de usabilidade estão no anexo.,produtivo
Convite para workshop,Gostaria de convidá-lo para o nosso workshop.,produtivo
Lembrete de reunião,Lembrete: nossa reunião é às 15h.,produtivo
Documento corrigido,O documento foi corrigido e está no anexo.,produtivo
Aprovação de arte,"Por favor, aprove a arte para a campanha publicitária.",produtivo
Informação de pagamento,Informação de pagamento para o fornecedor X.,produtivo
Relatório de vendas,Relatório de vendas detalhado para o mês de maio.,produtivo
Solicitação de férias,Sua solicitação de férias foi aprovada.,produtivo
Atualização de status,Status do seu projeto foi atualizado para 'em andamento'.,produtivo
Confirmação de agendamento,O agendamento da reunião foi confirmado.,produtivo
Apresentação de resultados,Apresentação dos resultados do último trimestre.,produtivo
Relatório de estoque,Relatório do estoque atualizado.,produtivo
Solicitação de licença,Sua solicitação de licença foi recebida e está em análise.,produtivo
Informação sobre a folha de pagamento,Sua folha de pagamento está disponível.,produtivo
Convite para café,Gostaria de tomar um café e discutir o projeto.,produtivo
Aprovação de orçamento,Seu pedido de orçamento foi aprovado.,produtivo
Detalhes do treinamento,Detalhes sobre o treinamento de amanhã.,produtivo
Solicitação de reembolso,O reembolso das suas despesas foi processado.,produtivo
Relatório de gastos,Seu relatório de gastos de viagem.,produtivo
Feedback sobre a apresentação,Tenho um feedback construtivo sobre sua apresentação.,produtivo
Relatório de eficiência,Relatório de eficiência operacional do mês.,produtivo
Recomendação de restaurante,Experimente este novo restaurante na cidade.,improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Qual a sua opinião?,Qual sua opinião sobre o novo livro que li?,improdutivo
Recomendação de livro,"Você precisa ler este livro, é muito bom.",improdutivo
Promoção imperdível,"Só hoje, frete grátis em todas as compras!",improdutivo
Vamos fazer churrasco?,Vamos fazer um churrasco no feriado?,improdutivo
Convite para bar,Vamos tomar uma cerveja e conversar?,improdutivo
Receita de bolo,Aqui está a receita de bolo de chocolate que você pediu.,improdutivo
Mensagem de encorajamento,"Acredite em si mesmo, você é capaz de tudo!",improdutivo
Convite para jantar,Vamos jantar fora hoje?,improdutivo
Notícia interessante,Uma notícia interessante sobre ciência.,improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Promoção de viagens,"Promoção de passagens aéreas, corra e aproveite!",improdutivo
Feliz Ano Novo!,Feliz ano novo! Que este ano seja incrível para você.,improdutivo
Mensagem de encorajamento,"Acredite em si mesmo, você é capaz de tudo!",improdutivo
Convite para ir ao cinema,Vamos assistir um filme no cinema hoje?,improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Promoção imperdível,"Só hoje, frete grátis em todas as compras!",improdutivo
Anúncio de evento online,Não perca nosso evento online sobre desenvolvimento pessoal.,improdutivo
Newsletter semanal,Leia nossa newsletter semanal com as últimas notícias.,improdutivo
Saudades de você!,"Estou com saudades, queria te ver em breve.",improdutivo
Convite para churrasco,"Vamos fazer um churrasco no domingo, venha!",improdutivo
Dica de podcast,"Recomendo este podcast, é muito bom.",improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Memes para a equipe,Aqui estão alguns memes que vi na internet.,improdutivo
Olha o que eu achei,"Olha o que eu achei, te lembras disto?",improdutivo
